source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Thank you Las Vegas Nevada- I love you! Departing for Greeley Colorado now. Get out &amp; VOTE! #ICYMI- watch here:… https://t.co/uIloPRtEn9,10-30-2016 19:05:31,8325,22954,false,792804645542305792
Twitter for iPhone,See you tomorrow Michigan!Grand Rapids MI tomorrow at noon:https://t.co/xFPRNEPNZ5Warren MI tomorrow at 3pm:… https://t.co/UHRTgS88B5,10-30-2016 17:58:52,7869,20476,false,792787872789045248
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10-30-2016 14:26:30,35433,72013,false,792734426912337920
Twitter for Android,Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming should not have delayed!,10-30-2016 14:04:06,19311,48647,false,792728791743291392
Twitter for Android,We are now leading in many polls and many of these were taken before the criminal investigation announcement on Friday - great in states!,10-30-2016 13:55:06,21013,64282,false,792726526127067136
Twitter for iPhone,Great day in Colorado &amp; Arizona. Will be in Nevada Colorado and New Mexico tomorrow - join me!Tickets:… https://t.co/vMPTsLXsCT,10-30-2016 01:36:25,10770,26717,false,792540629548933120
Twitter for iPhone,THANK YOU Phoenix Arizona! Time for new POWERFUL leadership. Just imagine what WE can accomplish in our first 100… https://t.co/gqZLLxcenk,10-30-2016 01:23:28,15279,38794,false,792537371291987968
Twitter for iPhone,So nice - great Americans outside Trump Tower right now. Thank you! https://t.co/34ATTgICTz,10-29-2016 20:02:16,23085,60515,false,792456539151806464
Twitter for iPhone,Departing Golden CO. for Arizona now - after an unbelievable rally. Watch here: https://t.co/zNzmWuZPiVOverflow: https://t.co/93L7JfdmXJ,10-29-2016 19:56:49,9680,26296,false,792455164615544832
Twitter for iPhone,#ObamacareFail https://t.co/iusXk4n9w7,10-29-2016 17:02:04,11196,20427,false,792411187547734016
Twitter for iPhone,Tomorrow!Las Vegas NV- 11a: https://t.co/KluudKImvnGreeley CO- 4p: https://t.co/JYimiIbqKBAlbuquerque NM- 7p: https://t.co/7SCol4vQlM,10-29-2016 16:54:54,6007,13884,false,792409386073202688
Twitter for Android,"@DeplorableCBTP: "In my mind #DonaldTrump is the only way out of this mess." - #PhilRobertson of TV's #DuckDynasty"   Thank you Phil!,10-29-2016 15:37:26,11676,30907,false,792389892298780672
Twitter for Android,I am in Colorado - big day planned - but nothing can be as big as yesterday!,10-29-2016 13:08:22,12505,42873,false,792352376828993538
Twitter for iPhone,Join me in Colorado at 12pm tomorrow - or Arizona at 3pm!TICKETS:Golden: https://t.co/Eix7SspO2ZPhoenix:… https://t.co/pheYCksxq0,10-29-2016 04:11:17,8391,20190,false,792217215114342400
Twitter for iPhone,Thank you Maine New Hampshire and Iowa. The waiting is OVER! The time for change is NOW! We are going to… https://t.co/HVPjw6qeQ2,10-29-2016 04:04:25,13020,33780,false,792215485941186560
Twitter for Android,"@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!,10-29-2016 01:30:55,15319,42330,false,792176856086622208
Twitter for Android,Just landed in Iowa - speaking soon!,10-29-2016 01:28:46,6283,25021,false,792176315478609920
Twitter for iPhone,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,10-28-2016 19:20:22,26231,54473,false,792083605405171712
Twitter for iPhone,Just out: Neera Tanden Hillary Clinton adviser said “Israel is depressing.” I think Israel is inspiring!,10-28-2016 17:24:08,15267,37860,false,792054354991800320
Twitter for iPhone,RT @DRUDGE_REPORT: WSJ:  The Cold Clinton Reality... https://t.co/udWj5mXcA6,10-28-2016 17:23:39,4423,0,true,792054233721864193
Twitter for Android,Heading to New Hampshire. Will be talking about the disaster known as ObamaCare!,10-28-2016 17:04:59,7680,25567,false,792049535195439104
Twitter for iPhone,If my people said the things about me that Podesta &amp; Hillary's people said about her I would fire them out of self respect. "Bad instincts",10-28-2016 15:53:19,17761,48926,false,792031499075944448
Twitter for iPhone,Join me tonight in Cedar Rapids Iowa at 7pm: https://t.co/QWaEJpR79nPhoenix Arizona tomorrow night at 3pm: https://t.co/0LjE9qbNLh,10-28-2016 15:39:01,5619,14155,false,792027901126406144
Twitter for Android,"@Jmoschetti1363: @Johnatsrs1949 FBI must be outraged that their hands r tied she has no regard or t secret service FBI or (Dallas)police",10-28-2016 15:27:05,8152,19933,false,792024896616407040
Twitter for iPhone,RT @DRUDGE_REPORT: WSJ:  Grifters-in-Chief...  https://t.co/mPFocMuBgu,10-28-2016 14:48:59,3499,0,true,792015309058310145
Twitter for iPhone,Thank you Geneva Ohio. If I am elected President I am going to keep RADICAL ISLAMIC TERRORISTS OUT of our countr… https://t.co/a7t5QN2iqW,10-28-2016 01:47:08,16793,42623,false,791818552600821761
Twitter for iPhone,Join @TeamTrump on Facebook &amp; watch tonight's rally from Geneva Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH,10-28-2016 00:14:46,6330,16056,false,791795308162408448
Twitter for iPad,Crooked Hillary launched her political career by letting terrorists off the hook. #DrainTheSwamp… https://t.co/BLMkZQ8svK,10-27-2016 22:37:22,16465,27431,false,791770795165057025
Twitter for Android,"@KeithRowland: People in Arizona just got a taste of Obamacare with a 116% increase in premiums. @realDonaldTrump" Repeal and replace!,10-27-2016 22:27:20,14782,29125,false,791768269615169538
Twitter for Android,I will be interviewed on @oreillyfactor tonight at 8:00 P.M. Enjoy!,10-27-2016 22:23:56,5894,18555,false,791767413465419777
Twitter for iPhone,I delivered a speech in Charlotte North Carolina yesterday. I appreciate all of the feedback &amp; support. Lets #MAGA… https://t.co/aI2HtiRUzr,10-27-2016 22:05:00,13708,29548,false,791762650195632128
Twitter for iPhone,Join me live in Toledo Ohio. Time to #DrainTheSwamp &amp; #MAGA!https://t.co/NU39Mmlh1T,10-27-2016 21:07:48,4459,12942,false,791748254991912960
Twitter for iPhone,Join me in Cedar Rapids Iowa tomorrow at 7:00pm! #MAGAhttps://t.co/QWaEJpzvKN https://t.co/CniHGkjp0v,10-27-2016 21:02:09,5054,12970,false,791746832686682112
Twitter for iPhone,#ICYMI: I agree- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8.… https://t.co/P2edj2MoXy,10-27-2016 20:27:44,15037,31379,false,791738173462310912
Twitter for iPhone,Thank you Springfield Ohio. Get out and #VoteTrumpPence16!#ICYMI - watch here: https://t.co/dEoXV6oS3b… https://t.co/RNgCUUqO4X,10-27-2016 19:26:05,7306,17323,false,791722658358439936
Twitter for iPhone,Join me live in Springfield Ohio!https://t.co/LREA7WRmOx,10-27-2016 17:45:20,4454,12618,false,791697302519947264
Twitter for iPhone,Inside ‘Bill Clinton Inc.’: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!https://t.co/UfDVzeSDfd,10-27-2016 14:49:59,13148,21471,false,791653174994202624
Twitter for iPhone,JOIN ME! #MAGATODAY:Springfield OH Toledo OH Geneva OH FRIDAY:Manchester NH Lisbon ME Cedar Rapids IAhttps://t.co/kv624y9UOm,10-27-2016 14:44:46,7231,17528,false,791651860889427968
Twitter for iPhone,I agree @MMFlint- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. https://t.co/D7nBwkogBb,10-27-2016 14:32:59,11854,24562,false,791648893725450240
Twitter for iPhone,"Clinton Foundation’s Fundraisers Pressed Donors to Steer Business to Former President"https://t.co/PlFILR6JCn,10-27-2016 14:12:42,9239,15416,false,791643789609865216
Twitter for iPhone,Ron Fournier: "Clinton Used Secret Server To Protect #CircleOfEnrichment”https://t.co/4OGP3tPxyp,10-27-2016 14:10:38,8579,15000,false,791643269109350400
Twitter for iPhone,'WikiLeaks Drip-Drop Releases Prove One Thing: There's No Nov. 8 Deadline on Clinton's Dishonesty and Scandals'https://t.co/MfRy3Nvd4F,10-27-2016 14:08:15,12505,23293,false,791642669256769536
Twitter for Android,A lot of call-ins about vote flipping at the voting booths in Texas. People are not happy. BIG lines. What is going on?,10-27-2016 13:01:12,19800,40090,false,791625798792974336
Twitter for iPhone,Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies and want to #DrainTheSwamp? Get out &amp; VOTE… https://t.co/jOelj829Pg,10-27-2016 12:17:57,14764,30570,false,791614912833449984
Twitter for iPhone,RT @EricTrump: Tune into @GMA right now to catch a great interview with my father &amp; the entire family! 🇺🇸 #VoteTrumpPence16 https://t.co/Sa…,10-27-2016 12:16:35,5343,0,true,791614568275570688
Twitter for iPhone,Beautiful evening in Kinston North Carolina - thank you! Get out and VOTE!! You can watch tonight's rally here:… https://t.co/x7wtERl55d,10-27-2016 01:57:51,9906,25510,false,791458860930392065
Twitter for iPhone,Thank you Charlotte North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. Full speech:… https://t.co/ga6DQZrIR0,10-27-2016 01:52:45,10702,26373,false,791457576030535680
Twitter for iPad,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to… https://t.co/hBIrGj21l6,10-26-2016 21:59:15,36861,69489,false,791398814049456128
Twitter for iPhone,JOIN ME IN OHIO TOMORROW!Springfield-1pm:https://t.co/YcbpSigtvaToledo-4pm:https://t.co/BOJH0l1CZzGeneva-7pm… https://t.co/7qbIRel33u,10-26-2016 18:49:49,8265,17845,false,791351142760321024
Twitter for Android,REPEAL AND REPLACE OBAMACARE!,10-26-2016 11:02:53,19861,54161,false,791233632593739776
Twitter for iPhone,Thank you Tallahassee Florida! A beautiful evening with the MOVEMENT! Get out &amp; VOTE!#ICYMI- watch here: https://t.co/GDKhwrCa9R,10-25-2016 23:31:58,9849,25338,false,791059759663288321
Twitter for iPhone,Thank you Sanford Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:… https://t.co/zVXrScClfd,10-25-2016 22:28:43,10167,24738,false,791043842124439552
Twitter for iPhone,REPEAL AND REPLACE!!! #ObamaCareInThreeWords,10-25-2016 22:01:50,16697,38530,false,791037075030179840
Twitter for iPhone,I have met &amp; spent a lot of time with families @ The Remembrance Project. I will fight for them everyday!… https://t.co/Ot6vQGqVW0,10-25-2016 21:54:05,12475,27469,false,791035128176844800
Twitter for iPhone,Get your ballots in Colorado - I will see you soon -- and we will win!#MakeAmericaGreatAgain https://t.co/oDLvZg7MLk,10-25-2016 21:36:51,8890,22353,false,791030789001605126
Twitter for iPhone,'Obama Warned Of Rigged Elections In 2008.' Time to #DrainTheSwamphttps://t.co/AkczH8l0FJ https://t.co/7mIkwAHTuV,10-25-2016 21:03:40,15680,25680,false,791022438486343680
Twitter for iPhone,Obamacare is a disaster. Rates going through the sky - ready to explode. I will fix it. Hillary can't!#ObamacareFailed,10-25-2016 20:43:45,13020,32629,false,791017424426504192
Twitter for iPhone,Truly honored to receive the first ever presidential endorsement from the Bay of Pigs Veterans Association. #MAGA… https://t.co/aRdlFkVjAx,10-25-2016 18:27:06,19790,49003,false,790983039056769024
Twitter for iPhone,Obamacare is a disaster - as I've been saying from the beginning. Time to repeal &amp; replace! #ObamacareFail https://t.co/5CvoMbVceT,10-25-2016 16:20:43,17024,31293,false,790951230906458113
Twitter for iPhone,#ObamacareFail https://t.co/90Aixp25Oc,10-25-2016 16:10:59,11896,20880,false,790948782288596992
Twitter for iPhone,Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail https://t.co/xDPhVczf1g,10-25-2016 15:22:35,7873,17104,false,790936603590033408
Twitter for iPhone,#ObamacareFail https://t.co/5Zvsys8j5w,10-25-2016 15:21:37,7069,14513,false,790936360953716736
Twitter for iPhone,#ObamacareFail https://t.co/Mb0YW1rg6g,10-25-2016 15:20:18,12416,23025,false,790936027871477764
Twitter for iPhone,Get out and vote! I am your voice and I will fight for you! We will make America great again! https://t.co/XXvLRlhSaz,10-25-2016 14:44:51,13016,27874,false,790927104921767940
Twitter for iPhone,Key Obamacare premiums to jump 25% next year:https://t.co/TCdHEdPQDG,10-25-2016 14:39:09,8167,14285,false,790925669937123328
Twitter for iPhone,#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! https://t.co/fY1REYV4rK,10-25-2016 14:33:57,9260,17542,false,790924363348541445
Twitter for iPhone,As election looms some bad news for Clinton Democrats:https://t.co/7aWWVQPjTo,10-25-2016 14:31:19,8356,15699,false,790923701193768960
Twitter for iPhone,Record crowd in Tampa Florida- thank you! We will WIN FLORIDA #DrainTheSwamp in Washington D.C. and MAKE AMERICA… https://t.co/IpSUYnXcp6,10-25-2016 01:43:26,15309,34493,false,790730455129714688
Twitter for iPhone,Thank you Bobby Bowden for the intro tonight and your support! I hope I can do as well for Florida as you have done! https://t.co/Vx5iltoaXj,10-25-2016 01:27:16,15742,37822,false,790726388978515968
Twitter for iPhone,My contract with the American voter will restore honesty accountability &amp; CHANGE to Washington! #DrainTheSwamp https://t.co/sbVwctT1Sj,10-25-2016 00:33:07,21582,40562,false,790712761407926272
Twitter for iPhone,Peter Navarro: 'Trump the Bull vs. Clinton the Bear' #DrainTheSwamp https://t.co/mQRkfMG80j,10-24-2016 21:52:36,6183,13641,false,790672365466316800
Twitter for iPhone,'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'https://t.co/sTreHAfYUH,10-24-2016 21:50:25,19468,29788,false,790671814276083712
Twitter for iPhone,Join me tomorrow in Sanford or Tallahassee Florida!Sanford at 3pm:https://t.co/PZENw9KhegTallahassee at 6pm:https://t.co/WKI69e1bqD,10-24-2016 21:15:23,5926,13806,false,790662999841333249
Twitter for iPhone,THANK YOU St. Augustine Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!… https://t.co/zgwqhy2jBX,10-24-2016 20:39:38,11985,29981,false,790654003981918208
Twitter for iPhone,Join me LIVE on my Facebook page in St. Augustine Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L,10-24-2016 19:01:18,5396,13803,false,790629257546379264
Twitter for iPhone,Honored to receive an endorsement from @SJSOPIO - thank you! Together we are going to MAKE AMERICA SAFE &amp; GREAT AG… https://t.co/PSTcOei5t1,10-24-2016 18:30:43,10048,23274,false,790621559920615424
Twitter for iPhone,'Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a,10-24-2016 16:37:58,11458,18616,false,790593186787840000
Twitter for iPhone,Leaving West Palm Beach Florida now - heading to St. Augustine for a 3pm rally. Will be in Tampa at 7pm - join me:… https://t.co/eLunEQRxZq,10-24-2016 16:35:59,7662,20044,false,790592685144846336
Twitter for iPhone,'The Clinton Foundation’s Most Questionable Foreign Donations'#PayToPlay #DrainTheSwamphttps://t.co/IkeqMRjX5z,10-24-2016 16:04:52,10189,16778,false,790584855150997504
Twitter for iPhone,Departing Farmers Round Table in Boynton Beach Florida. Get out &amp; VOTE- lets #MAGA! EARLY VOTING BY FL. COUNTY:… https://t.co/MgJxNbxRga,10-24-2016 15:55:44,6703,16155,false,790582555871326208
Twitter for iPhone,Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!RASMUSSEN NATIONAL Trump 43%Clinton 41% https://t.co/jIOR7Bq816,10-24-2016 14:46:16,15004,31769,false,790565076159922177
Twitter for iPhone,We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!,10-24-2016 14:17:35,22715,49295,false,790557856806371328
Twitter for iPhone,Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!,10-24-2016 13:05:36,14772,37266,false,790539740118446080
Twitter for Android,Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!,10-24-2016 12:44:29,18966,44833,false,790534428942622721
Twitter for Android,Wow just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!,10-24-2016 12:00:02,25812,54253,false,790523240351498241
Twitter for iPhone,'Clinton Ally Aided Campaign of FBI Official’s Wife' https://t.co/U0w99gfyKE,10-24-2016 02:25:05,12972,20245,false,790378549395988480
Twitter for iPhone,'Clinton Charity Got Up To $56 Million From Nations That Are Anti-Women Gays' #CrookedHillaryhttps://t.co/eHsuBdi8XM,10-24-2016 00:07:47,16967,24992,false,790343997814403072
Twitter for iPhone,Thank you Naples Florida! Get out and VOTE #TrumpPence16 on 11/8. Lets #MakeAmericaGreatAgain! Full Naples rally… https://t.co/5ZbteSJ00K,10-24-2016 00:05:36,11078,26357,false,790343447987314692
Twitter for Android,The attack on Mosul is turning out to be a total disaster. We gave them months of notice. U.S. is looking so dumb. VOTE TRUMP and WIN AGAIN!,10-23-2016 23:40:14,16269,41150,false,790337063489040384
Twitter for iPhone,#CrookedHillary #PayToPlay https://t.co/BT1Nv0ZMYg,10-23-2016 19:08:42,16321,27190,false,790268732354461696
Twitter for iPhone,Join me in Naples Florida this evening at 6:00pm! Tickets: https://t.co/Oax06JVzv1 https://t.co/g9LBxI1dJ8,10-23-2016 17:56:43,6349,17147,false,790250615398133760
Twitter for iPhone,Remember - get out on November 8th &amp; VOTE #TrumpPence16. It is time to #DrainTheSwamp -- this is our last chance! https://t.co/bnGcJUt7UL,10-23-2016 16:34:32,11424,24085,false,790229932341354496
Twitter for iPhone,Former Prosecutor: The Clintons Are So Corrupt Everything ‘They Touch Turns To Molten Lead’ https://t.co/5Eyfi092vn,10-23-2016 16:30:03,11903,22537,false,790228805986217985
Twitter for iPhone,Thank you Las Vegas Review Journal! EDITORIAL: 'Donald Trump for president' https://t.co/uH5GH7Bhe0 via @reviewjournal,10-23-2016 16:23:50,9191,19939,false,790227242500644864
Twitter for Android,Well Iran has done it again. Taken two of our people and asking for a fortune for their release. This doesn't happen if I'm president!,10-23-2016 14:04:01,25671,59126,false,790192053489729538
Twitter for Android,"If you can't run your own house you certainly can't run the White House" A statement made by Mrs. Obama about Crooked Hillary Clinton,10-23-2016 12:53:51,25716,58853,false,790174395985788929
Twitter for iPhone,Thank you for the massive turnout tonight- Cleveland Ohio! Get out &amp; VOTE #TrumpPence16 on 11/8.Watch rally here:… https://t.co/XuJZeJwSGk,10-23-2016 03:00:32,14505,35965,false,790025084870287360
Twitter for iPhone,WikiLeaks: 'Clinton-Kaine Even Lied About Timing of Veep Pick'https://t.co/e1NVdpSfNr,10-23-2016 02:26:32,12215,21351,false,790016528011890688
Twitter for iPhone,'Trump lays out policies for first 100 days in White House'https://t.co/OrwOIFJuSz,10-23-2016 02:21:32,11983,25273,false,790015269074792448
Twitter for iPhone,'Huma Abedin told Clinton her secret email account caused problems'https://t.co/i4zN2QzKnf,10-23-2016 02:05:01,11734,19967,false,790011110984445952
Twitter for iPhone,Just arrived in Cleveland Ohio- join Governor @Mike_Pence and I now LIVE via: https://t.co/SS58ChFTNy,10-22-2016 23:08:25,6387,17045,false,789966670630715394
Twitter for iPhone,Hillary Clinton: 'Architect of failure'#DrainTheSwamp #CrookedHillaryhttps://t.co/b5HqsGrc7N,10-22-2016 21:34:44,10278,19786,false,789943092564652032
Twitter for iPhone,Unbelievable crowd of supporters in Virginia Beach Virginia. Thank you! Next stop - Cleveland Ohio.… https://t.co/CN3sdX5ft1,10-22-2016 21:09:56,9585,25396,false,789936850051932161
Twitter for iPhone,In order to #DrainTheSwamp &amp; create a new GOVERNMENT of by &amp; for the PEOPLE I need your VOTE! Go to https://t.co/HfihPERFgZ- LET'S #MAGA!,10-22-2016 19:54:40,12312,26379,false,789917911821520898
Twitter for iPhone,Today I introduced my Contract with the American Voter - our economy will be STRONG &amp; our people will be SAFE.… https://t.co/Sa6XUfueU4,10-22-2016 18:40:31,14916,32323,false,789899250834534400
Twitter for iPhone,Change has to come from outside our very broken system. #MAGA https://t.co/OH9Lvo3R7K,10-22-2016 18:18:43,14051,32198,false,789893765397897216
Twitter for iPhone,Crooked Hillary Clinton Tops Middle East Forum’s ‘Islamist Money List'https://t.co/JC25rNtx6G,10-22-2016 17:54:11,9788,16993,false,789887588178006017
Twitter for iPhone,Thank you Gettysburg Pennsylvania! #DrainTheSwamp https://t.co/jWgLcxDji7,10-22-2016 17:49:56,9831,23079,false,789886518303330304
Twitter for iPhone,Landing in Pennsylvania now. Great new poll this morning thank you. Lets #DrainTheSwamp and #MakeAmericaGreatAgain… https://t.co/BV2RFavG84,10-22-2016 14:20:56,15019,35331,false,789833922590957568
Twitter for iPhone,Will be in Cleveland Ohio w/ @mike_pence tonight- join us: https://t.co/hre7FofPxQNaples Florida-tomorrow @ 6pm: https://t.co/Oax06JVzv1,10-22-2016 14:01:18,5916,15035,false,789828981197602816
Twitter for Android,"@AZTRUMPTRAIN: I #Voted for DonaldTrump! #Arizona ☉ #Economy #Immigration #Jobs #Veterans #BorderControl #Trade… https://t.co/0BJk9BwkfW",10-22-2016 11:37:58,6108,15610,false,789792909969195009
Twitter for Android,"@jensen4law: Best way to pay Hillary back for what she did to @BernieSanders #DNCleak is a DonaldTrump LANDSLIDE https://t.co/Ha8o5wCyGh",10-22-2016 11:35:18,14093,25404,false,789792240390533124
Twitter for Android,The media refuses to talk about the three new national polls that have me in first place. Biggest crowds ever - watch what happens!,10-22-2016 03:33:54,23733,63178,false,789671091182632960
Twitter for Android,Just returned from Pennsylvania where we will be bringing back their jobs. Amazing crowd. Will be going back tomorrow to Gettysburg!,10-22-2016 03:23:34,11104,36589,false,789668492480016384
Twitter for iPhone,Governor @Mike_Pence and I will be in Cleveland Ohio tomorrow night at 7pm - join us! #MAGATickets:… https://t.co/kfJv5Po0x6,10-22-2016 02:41:07,8395,21553,false,789657808052621313
Twitter for iPhone,Thank you to the great crowd of supporters in Newtown Pennsylvania. Get out &amp; VOTE on 11/8/16. Lets #MAGA! Watch:… https://t.co/eb6XuMlbFW,10-22-2016 00:58:02,9518,22462,false,789631866714386432
Twitter for iPhone,#CrookedHillary sending U.S. intelligence info. to Podesta’s hacked email is ‘unquestionably an OPSEC violation’ https://t.co/z58aeo4CO7,10-21-2016 22:50:00,12065,21003,false,789599646821806085
Twitter for iPhone,WikiLeaks reveals Clinton camp’s work with ‘VERY friendly and malleable reporters’ #DrainTheSwamp #CrookedHillaryhttps://t.co/bcYLslrxi0,10-21-2016 22:46:37,9435,17268,false,789598795315150853
Twitter for iPhone,Donna Brazile Shreds Obama Economy - Acting DNC chair says 'people are more in despair about how things are' https://t.co/LQNbISSoX0,10-21-2016 22:36:04,11455,20842,false,789596138462650372
Twitter for iPhone,"{Crooked Hillary Clinton} created this mess and she knows it." #DrainTheSwamp https://t.co/3cBNYjl5CD https://t.co/sjwkuq3nkk,10-21-2016 22:30:14,11479,19719,false,789594671387447297
Twitter for iPhone,'Clinton Campaign And Harry Reid Worked With New York Times To Smear State Dept Watchdog'Time to #DrainTheSwamp! https://t.co/0VDdGdpCTg,10-21-2016 22:14:47,9734,16890,false,789590785733918721
Twitter for iPhone,VERY IRONIC: "In 2010 video Clinton lectured underlings on cybersecurity and guarding ‘sensitive information’" https://t.co/dL7VDMqSLy,10-21-2016 22:10:57,11456,20788,false,789589818581848064
Twitter for iPhone,Great crowd in Johnstown Pennsylvania- thank you. Get out &amp; VOTE on 11/8! Watch the MOVEMENT in PA. this afternoon… https://t.co/DUMlbSkVeY,10-21-2016 21:07:54,10485,24316,false,789573953144680448
Twitter for iPhone,A top Clinton Foundation official said he could name “500 different examples” of conflicts of interest. https://t.co/rtWhdYOyq7,10-21-2016 18:58:20,11985,20617,false,789541345216036864
Twitter for iPhone,#CrookedHillary “was at center of negotiating $12M commitment from King Mohammed VI of Morocco” to Clinton Fdn. https://t.co/HWOQ7jQWY2,10-21-2016 18:54:00,12036,19470,false,789540253791059974
Twitter for iPhone,Great crowd in Fletcher North Carolina- thank you! Heading to Johnstown Pennsylvania now! Get out on November 8th… https://t.co/IG5KhKIz3W,10-21-2016 17:43:39,10064,26027,false,789522551462428672
Twitter for Android,The results are in on the final debate and it is almost unanimous I WON! Thank you these are very exciting times.,10-21-2016 17:34:35,16793,56475,false,789520268972601344
